1	D Feed	%	63.053	62.935	12.637	89.130	100.000	13.098	100.000
2	E Feed	%	53.980	53.147	96.216	8.381	86.715	100.000	9.438
3	A Feed	%	24.644	26.248	30.412	19.114	49.477	32.009	21.543
4	A+C Feed	%	61.302	60.566	56.092	51.368	96.595	58.155	57.640
5	Recycle Valve	%	22.210	1.000	1.000	77.621	1.000	1.000	71.166
6	Purge Valve	%	40.064	25.770	44.347	9.501	48.742	47.095	10.654
7	Separator Valve	%	38.100	37.266	35.799	29.146	60.960	37.422	32.685
8	Stripper Valve	%	46.534	46.444	42.865	39.425	74.522	44.491	44.251
9	Steam valve	%	47.446	1.000	1.000	1.000	1.000	1.000	1.000
10	Reactor Coolant	%	41.106	35.992	25.257	35.550	60.794	26.070	40.538
11	Condenser Coolant	%	18.113	12.431	12.907	99.000	35.534	14.115	99.000
12	Agitator Speed	%	50.000	100.000	100.000	100.000	100.000	100.000	100.000
